date,type,N,year,month
2002-05-23,CIVIL,3299,2002,2002-05-01
2002-05-23,CRIM,613,2002,2002-05-01
2002-05-23,ARREST,319,2002,2002-05-01
2002-05-23,WARN,10,2002,2002-05-01
2002-05-24,CRIM,665,2002,2002-05-01
2002-05-24,CIVIL,3798,2002,2002-05-01
2002-05-24,ARREST,363,2002,2002-05-01
2002-05-24,WARN,3,2002,2002-05-01
2002-05-25,CIVIL,3419,2002,2002-05-01
2002-05-25,ARREST,433,2002,2002-05-01
2002-05-25,CRIM,729,2002,2002-05-01
2002-05-25,WARN,3,2002,2002-05-01
2002-05-26,CIVIL,2501,2002,2002-05-01
2002-05-26,CRIM,572,2002,2002-05-01
2002-05-26,ARREST,465,2002,2002-05-01
2002-05-26,WARN,1,2002,2002-05-01
2002-05-27,CIVIL,2282,2002,2002-05-01
2002-05-27,CRIM,594,2002,2002-05-01
2002-05-27,ARREST,347,2002,2002-05-01
